Canary Islands Year,Canary Islands pH,Canary Islands pCO2
1995.7507,8.0765,377.6526
1995.7562,8.0743,380.0385
1995.7644,8.0713,383.1138
1995.9014,8.0837,370.4347
1996.0656,8.1117,343.0605
1996.0956,8.1117,343.7156
1996.1038,8.1149,340.432
1996.2049,8.1254,330.2408
1996.3142,8.1082,347.1527
1996.3716,8.1013,354.1248
1996.377,8.1019,353.4874
1996.3907,8.1037,351.5631
1996.4481,8.0979,357.3695
1996.5219,8.0977,357.1688
1996.7404,8.0794,374.8339
1996.8306,8.0776,376.8813
1996.9617,8.108,347.2502
1997.0301,8.1157,340.1547
1997.2027,8.1001,354.4622
1997.2849,8.103,352.5722
1997.3671,8.0985,357.0641
1997.4438,8.0756,379.8772
1997.4493,8.0779,377.6578
1997.5068,8.0729,381.6492
1997.8466,8.0744,379.0713
1997.9233,8.0837,370.942
1998.0575,8.1005,355.0427
1998.1342,8.1121,343.87
1998.2301,8.1007,354.4199
1998.2658,8.1016,353.6248
1998.3151,8.1077,348.0005
1998.3836,8.0967,358.619
1998.4822,8.087,367.2647
1998.5014,8.084,370.4682
1998.7425,8.0669,387.4393
1998.7671,8.0646,389.6913
1998.8822,8.09,363.6441
1998.9589,8.1088,346.1028
1999.0904,8.1224,333.7297
1999.0986,8.1329,324.0626
1999.1315,8.1331,323.7588
1999.2164,8.1223,333.2992
1999.811,8.0678,386.4509
1999.8411,8.0772,375.6484
2000.0656,8.1269,328.6619
2000.0847,8.1196,336.2406
2000.1967,8.1123,343.7966
2000.2568,8.1053,350.2729
2000.5383,8.0815,372.961
2000.653,8.0748,379.5525
2000.7131,8.0721,382.4901
2000.8852,8.0968,358.3191
2000.9126,8.0898,365.4017
2001.0685,8.0981,356.8848
2001.137,8.0973,357.6541
2001.1425,8.1003,354.6521
2001.2247,8.1006,354.5687
2001.2384,8.1045,350.5347
2001.3096,8.1033,351.7244
2001.3753,8.1017,352.8775
2001.4904,8.0807,372.9672
2001.6658,8.057,397.9218
2001.7397,8.0535,402.2744
2001.7753,8.0597,394.1292
2002.1589,8.1076,347.3098
2002.1753,8.1098,346.034
2002.2877,8.1103,345.4762
2002.3726,8.1145,340.7661
2002.4959,8.0875,366.8528
2002.7041,8.0687,384.7756
2002.7945,8.0619,393.9321
2002.8986,8.0721,382.7021
2003.0849,8.0925,362.2842
2003.1397,8.0987,356.2971
2003.1479,8.105,350.0205
2003.211,8.1072,347.6251
2003.2658,8.1045,350.6318
2003.3699,8.1081,346.8474
2003.4521,8.0834,371.6667
2003.5425,8.0697,385.6165
2003.6986,8.0558,399.0883
2003.8301,8.053,402.5334
2003.8438,8.0539,400.7921
2004.0656,8.0921,362.8408
2004.0822,8.0823,373.4633
2004.1491,8.0973,358.5007
2004.3048,8.0866,369.3062
2004.3185,8.0957,360.0884
2004.8443,8.0511,406.0189
2004.9523,8.085,370.6192
2005.0301,8.107,348.7244
2005.1244,8.1014,353.6434
2005.1941,8.0816,373.4802
2005.2856,8.0975,357.1741274
2005.5342,8.0728,382.1555
2005.574,8.0673,387.0980002
2005.6546,8.0529,403.2501788
2005.6712,8.056,398.1445
2005.7434,8.0516,404.9946
2005.8267,8.0564,399.9962684
2005.8936,8.0745,380.2393183
2005.9331,8.0856,369.7826484
2005.9973,8.0937,360.1749
2006.0329,8.1012,354.1613
2006.1776,8.1087,347.1851607
2006.263,8.109,347.2435
2006.324,8.0887,366.5458798
2006.3945,8.0722,382.8236
2006.4329,8.0707,383.6783
2006.4358,8.0762,378.7970578
2006.5342,8.0676,387.0225
2006.608,8.0528,404.1360693
2006.6658,8.0461,410.2121
2006.7014,8.0531,400.8464
2006.7582,8.0468,410.5319715
2006.8635,8.0614,394.3559378
2006.9753,8.0861,368.1979
2007.0164,8.0885,365.8547
2007.1452,8.1001,354.697
2007.2215,8.0948,361.0718335
2007.2692,8.0922,362.5021
2007.3753,8.0798,374.8182
2007.4137,8.0739,381.0968
2007.5096,8.0781,377.1886
2007.6438,8.0606,394.6435
2007.7719,8.0505,405.480935
2007.7836,8.0558,399.094
2007.8164,8.0574,397.2262
2007.8295,8.0576,398.6015887
2008.1721,8.0999,356.0044193
2008.1831,8.1055,350.0102
2008.2884,8.0899,366.6794075
2008.3158,8.0884,367.3838
2008.6436,8.0669,388.0299742
2008.9249,8.0784,377.8633
2008.9331,8.081,374.9906
2009.0712,8.0894,366.7552
2009.1436,8.0975,358.0527915
2009.2324,8.0897,366.1135131
2009.2692,8.1017,353.4303011
2009.3854,8.089,367.2136969
2009.824,8.0451,412.6208109
2009.8607,8.045,412.5473
